session.code,num_rounds_total,num_rounds_per_block,length_multi_digit,timeout_seconds_multi_digit,winning_color_triangle,red_majority,number_left_urn_triangle,number_left_urn_square,round_number,participant.code,id_in_group,wrong_answer_1,wrong_answer_2,wrong_answer_3,wrong_answer_4,wrong_answer_5,wrong_answer_6,wrong_answer_7,payoff,participant_payoff,consent,treatment_assignment,cognitive_load,similar_ingroup,observing_ingroup,type_assignment,group_assignment,urn_choice,optimal_urn,color_drawn_marble,memorized_correctly,memorize_number,recalled_number,share_winning_color,pay_task,q1,q2,q3,q4nocl,q4,q5nocl,q5,q6,q7,q8,age,gender,study_subject,monetary_earnings
53o1fp98,80,4,7,8,red,1,3,3,1,cet1ai8r,1,1,,1,1,1,,,0.0,4400.0,1,,,,,individual_learner,triangle,0,1,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,6iupjehw,2,,,1,1,1,,,100.0,4700.0,1,,,,,individual_learner,square,0,0,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,h7msn5pp,3,,1,1,,1,,,100.0,4100.0,1,,,,,individual_learner,triangle,1,1,red,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,kp5a1lya,4,,,1,1,1,,,0.0,4500.0,1,,,,,individual_learner,square,1,0,red,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,vv02u0g2,5,,,,1,,,,0.0,4600.0,1,,,,,individual_learner,triangle,1,1,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,euayz8f4,6,,1,,1,,,,100.0,4400.0,1,,,,,individual_learner,square,0,0,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,9czipx3f,7,,1,1,,1,,,0.0,4400.0,1,,,,,individual_learner,triangle,0,1,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,ctyklg5z,8,,,1,,1,,,100.0,4000.0,1,,,,,individual_learner,square,1,0,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,32adyvpf,9,,,,1,,,,100.0,4800.0,1,,,,,individual_learner,triangle,1,1,red,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,j2ccyww4,10,,,,1,1,,,100.0,4400.0,1,,,,,individual_learner,square,1,0,blue,,,,,,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,3j8jhkzb,1,,,1,,1,,1,0.0,4400.0,1,23,0,,,social_learner,triangle,,,,,,5441737,,s,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,fc1yx3bt,2,,,,,,,,0.0,6600.0,1,24,0,,,social_learner,square,,,,,,4431448,,m,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,oduqw5b1,3,,,1,,1,1,,0.0,2900.0,1,23,1,,,social_learner,triangle,,,,,,8326158,,s,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,ogydvqz3,4,,1,1,,,,,0.0,4300.0,1,24,1,,,social_learner,square,,,,,,8518457,,m,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,mu9ktr7d,5,1,,1,1,1,1,1,0.0,5800.0,1,25,0,,,social_learner,triangle,,,,,,5857888,,m,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,37hzkfu9,6,1,1,1,,1,1,1,0.0,4200.0,1,26,0,,,social_learner,square,,,,,,7673383,,s,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,qhz70830,7,1,,1,,,1,,0.0,6100.0,1,25,1,,,social_learner,triangle,,,,,,7318131,,m,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,bq95gob4,8,,,,,,,,0.0,3900.0,1,26,1,,,social_learner,square,,,,,,5166477,,s,,,,,,,,,,,,,,
53o1fp98,80,4,7,8,red,1,3,3,1,2h7c62gu,9,,,,,,,,0.0,3700.0,1,27,0,,,social_learner,triangle,,,,,,7887453,,s,,,,,,,,,,,,,,
