session.code,num_rounds_total,num_rounds_per_block,length_multi_digit,timeout_seconds_multi_digit,winning_color_triangle,red_majority,number_left_urn_triangle,number_left_urn_square,round_number,participant.code,id_in_group,wrong_answer_1,wrong_answer_2,wrong_answer_3,wrong_answer_4,wrong_answer_5,wrong_answer_6,wrong_answer_7,payoff,participant_payoff,consent,treatment_assignment,cognitive_load,similar_ingroup,observing_ingroup,type_assignment,group_assignment,urn_choice,optimal_urn,color_drawn_marble,memorized_correctly,memorize_number,recalled_number,share_winning_color,pay_task,q1,q2,q3,q4nocl,q4,q5nocl,q5,q6,q7,q8,age,gender,study_subject,monetary_earnings
n5oxgk1c,80,4,7,8,red,0,0,3,1,v3gx9num,1,,,,,1,,,100.0,4600.0,1,,,,,individual_learner,triangle,1,0,red,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,kg4h1wm0,2,,,1,,1,,,100.0,5000.0,1,,,,,individual_learner,square,1,1,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,bdy55jxa,3,,,,,,,,0.0,4400.0,1,,,,,individual_learner,triangle,1,0,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,h74eylf8,4,1,,1,,,,,100.0,4700.0,1,,,,,individual_learner,square,1,1,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,6zjjjboe,5,,,,1,1,,,0.0,4300.0,1,,,,,individual_learner,triangle,1,0,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,hp3zt5za,6,,,1,1,1,,,0.0,4300.0,1,,,,,individual_learner,square,1,1,red,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,u33x0rfw,7,1,,,1,,,,0.0,3400.0,1,,,,,individual_learner,triangle,1,0,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,an0qn2y4,8,1,,1,1,,,,0.0,4700.0,1,,,,,individual_learner,square,0,1,red,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,5t1j961o,9,,,,,,,,0.0,3500.0,1,,,,,individual_learner,triangle,1,0,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,1z3mmpfc,10,,,,1,,,,100.0,5300.0,1,,,,,individual_learner,square,1,1,blue,,,,,,,,,,,,,,,,,,,
n5oxgk1c,80,4,7,8,red,0,0,3,1,r6jvpame,1,,,,1,1,,,0.0,3800.0,1,43,0,,,social_learner,triangle,,,,,,1538553,,s,,,,,,,,,,,,,,
